"Año","Periodo","Operador de red","Nivel","CU Total","Costo Compra (Gm,i)","Cargo Transporte STN (Tm)","Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)","Restricciones (Rm)","COT","Cfm,j ($/fact.)"
"2,025","Enero","ENEL Bogotá - Cundinamarca","Nivel 1 (Propiedad OR)","810.46","372.46","56.03","280.91","24.86","72.49","3.71","0","9.813"
"2,025","Enero","ENEL Bogotá - Cundinamarca","Nivel 1 (Propiedad Compartida)","787.37","372.46","56.03","257.82","24.86","72.49","3.71","0","9.813"
"2,025","Enero","ENEL Bogotá - Cundinamarca","Nivel 1 (Propiedad Cliente)","764.29","372.46","56.03","234.73","24.86","72.49","3.71","0","9.813"
"2,025","Enero","ENEL Bogotá - Cundinamarca","NIVEL II","691.89","372.46","56.03","168.8","66.56","24.32","3.71","41.7","9.813"
"2,025","Enero","ENEL Bogotá - Cundinamarca","NIVEL III","633.3","372.46","56.03","113.66","63.79","23.65","3.71","38.93","9.813"
"2,025","Enero","CELSIA Colombia - Valle del Cauca","Nivel 1 (Propiedad OR)","841","374.18","56.03","257.74","78.71","70.63","3.71","56.79","16.16"
"2,025","Enero","CELSIA Colombia - Valle del Cauca","Nivel 1 (Propiedad Compartida)","806.28","374.18","56.03","223.02","78.71","70.63","3.71","56.79","16.16"
"2,025","Enero","CELSIA Colombia - Valle del Cauca","Nivel 1 (Propiedad Cliente)","771.56","374.18","56.03","188.29","78.71","70.63","3.71","56.79","16.16"
"2,025","Enero","CELSIA Colombia - Valle del Cauca","NIVEL II","710.68","374.18","56.03","153.33","93.73","29.69","3.71","71.81","16.16"
"2,025","Enero","CELSIA Colombia - Valle del Cauca","NIVEL III","601.84","374.18","56.03","91.72","50.91","25.29","3.71","28.99","16.16"
"2,025","Enero","CELSIA Colombia - Tolima","Nivel 1 (Propiedad OR)","937.62","310.82","56.03","280.91","193.88","86.08","9.9","94.87","10.14"
"2,025","Enero","CELSIA Colombia - Tolima","Nivel 1 (Propiedad Compartida)","886.89","310.82","56.03","230.17","193.88","86.08","9.9","94.87","10.14"
"2,025","Enero","CELSIA Colombia - Tolima","Nivel 1 (Propiedad Cliente)","836.15","310.82","56.03","179.44","193.88","86.08","9.9","94.87","10.14"
"2,025","Enero","CELSIA Colombia - Tolima","NIVEL II","684.1","310.82","56.03","168.8","100.59","37.95","9.9","0","10.14"
"2,025","Enero","CELSIA Colombia - Tolima","NIVEL III","619.58","310.82","56.03","113.66","100.59","28.58","9.9","0","10.14"
"2,025","Enero","EMCALI - Cali","Nivel 1 (Propiedad OR)","783.82","372.78","56.03","257.74","22.79","70.76","3.71","0","9.051"
"2,025","Enero","EMCALI - Cali","Nivel 1 (Propiedad Compartida)","768.02","372.78","56.03","241.95","22.79","70.76","3.71","0","9.051"
"2,025","Enero","EMCALI - Cali","Nivel 1 (Propiedad Cliente)","752.22","372.78","56.03","226.15","22.79","70.76","3.71","0","9.051"
"2,025","Enero","EMCALI - Cali","NIVEL II","638.6","372.78","56.03","153.33","22.79","29.96","3.71","0","9.051"
"2,024","Enero","ENEL Bogotá - Cundinamarca","Nivel 1 ( Propiedad OR )","747.41","289.09","54.32","256.98","70.27","58.26","18.49","0","9.286"
"2,024","Enero","ENEL Bogotá - Cundinamarca","Nivel 1 (Propiedad Compartida)","724.67","289.09","54.32","234.24","70.27","58.26","18.49","0","9.286"
"2,024","Enero","ENEL Bogotá - Cundinamarca","Nivel 1  (Propiedad Cliente)","701.93","289.09","54.32","211.5","70.27","58.26","18.49","0","9.286"
"2,024","Enero","ENEL Bogotá - Cundinamarca","NIVEL II","610.25","289.09","54.32","158.35","70.27","19.73","18.49","0","9.286"
"2,024","Enero","ENEL Bogotá - Cundinamarca","NIVEL III","562.22","289.09","54.32","110.75","70.27","19.3","18.49","0","9.286"
"2,024","Enero","CELSIA - Valle del Cauca","Nivel 1 ( Propiedad OR )","793.95","289.09","54.32","261.91","112.06","57.36","19.21","0","15.291"
"2,024","Enero","CELSIA - Valle del Cauca","Nivel 1 (Propiedad Compartida)","757.54","289.09","54.32","225.5","112.06","57.36","19.21","0","15.291"
"2,024","Enero","CELSIA - Valle del Cauca","Nivel 1  (Propiedad Cliente)","721.13","289.09","54.32","189.09","112.06","57.36","19.21","0","15.291"
"2,024","Enero","CELSIA - Valle del Cauca","NIVEL II","657.13","289.09","54.32","157.72","112.06","24.73","19.21","0","15.291"
"2,024","Enero","CELSIA - Valle del Cauca","NIVEL III","590.36","289.09","54.32","94.45","112.06","21.23","19.21","0","15.291"
"2,024","Enero","CELSIA - Tolima","Nivel 1 ( Propiedad OR )","795.88","289.09","54.32","256.98","93.08","83.2","19.21","0","9.594"
"2,024","Enero","CELSIA - Tolima","Nivel 1 (Propiedad Compartida)","743.64","289.09","54.32","204.74","93.08","83.2","19.21","0","9.594"
"2,024","Enero","CELSIA - Tolima","Nivel 1  (Propiedad Cliente)","691.4","289.09","54.32","152.5","93.08","83.2","19.21","0","9.594"
"2,024","Enero","CELSIA - Tolima","NIVEL II","650.2","289.09","54.32","158.35","93.08","36.15","19.21","0","9.594"
"2,024","Enero","CELSIA - Tolima","NIVEL III","593.3","289.09","54.32","110.75","93.08","26.85","19.21","0","9.594"
"2,024","Enero","EMCALI - Cali","Nivel 1 ( Propiedad OR )","746.4","289.09","54.32","261.91","66.18","56.8","18.1","0","8.565"
"2,024","Enero","EMCALI - Cali","Nivel 1 (Propiedad Compartida)","724.88","289.09","54.32","240.39","66.18","56.8","18.1","0","8.565"
